id;name;image;image_content_type;description;employees;sector;industry;ceo;site;date_of_establishment
1;Isle;../fake-data/blob/hipster.png;image/png;benchmark;51319;Global Borders;backing interface;withdrawal;Representative;2022-03-27
2;orchid;../fake-data/blob/hipster.png;image/png;Handcrafted Metal Berkshire;78341;Electronics mobile Small;explicit;Steel JBOD Greece;Rubber Central standardization;2022-03-27
3;SCSI;../fake-data/blob/hipster.png;image/png;Tuna architecture Awesome;67692;CSS;Computer Hat;Southern middleware;encompassing magnetic Grass-roots;2022-03-27
4;Caribbean;../fake-data/blob/hipster.png;image/png;Investment Extensions application;72960;AI;magnetic SCSI generating;definition Computer;quantify;2022-03-28
5;Bolivia;../fake-data/blob/hipster.png;image/png;Fantastic AI;68020;Sausages firewall Seamless;monetize Card;Glen Arab AGP;bricks-and-clicks unleash;2022-03-28
6;RAM synthesize bypassing;../fake-data/blob/hipster.png;image/png;Bedfordshire Response Isle;73166;Keyboard Frozen;ROI Georgia;Borders;navigate;2022-03-28
7;Handcrafted Awesome;../fake-data/blob/hipster.png;image/png;programming;23911;Corporate network;Account;Refined paradigms program;Shirt;2022-03-27
8;auxiliary Chips Computer;../fake-data/blob/hipster.png;image/png;responsive;43265;Credit;calculate;New Account capability;aggregate microchip Gabon;2022-03-28
9;Applications deposit;../fake-data/blob/hipster.png;image/png;Object-based Upgradable azure;17428;killer input;GB;Music Gorgeous;B2B drive digital;2022-03-28
10;Missouri connecting Up-sized;../fake-data/blob/hipster.png;image/png;asynchronous;10390;incentivize;Small Mandatory Intranet;content-based transmitting;Music Account Bedfordshire;2022-03-28
